Product code,Product name,Cost,Price,Custom barcode id
PD68000054,แว่นตาว่ายน้ำตาโต-ใหญ่ GV,70,85,8858599027821
PD69001341,หมึกล่องหน (กล่อง),120,200,
PD69001392,*ถังทรายปราสาทพลั่ว 9243 (ลัง),2520,2880,
PD69001328,*ถังทรายปูบน 9211/P (ลัง),1320,1512,
PD69001417,"ห่วงกล่องโพนี่เขียว 90 cm.36"" SY-A0782",100,135,8859316312497
8858711984230,ถ่าน AA กล่อง,77.5,95,8858711984230
PD68000157,แท่งโฟม,40,50,8859316332884
PD68000803,"ไฟเย็น 7"" กล่อง",145,165,M026-T3051
PD69001447,*ถังทรายปราสาทใหญ่ 9299,1700,1872,8851631092993
PD68001099,ที่คาดผม คริสมาสต์ (แพค),8.33,140,
PD68000158,แท่งโฟม + ข้อต่อ,49.5,60,520191954123
PD69001304,หมูโอ๊กเล็ก,26,35,1988321500531
PD68000077,จระเข้งับ Kim,40,50,220519016
PD69001394,*ถังทรายปราสาทปูบน 9268/P (ลัง),1560,1800,
PD68000700,"ห่วง 2 ชั้น 80 cm. 30""",48,60,8859811110543
PD68000561,เบย์เบลด BEYBLADE X,60,65,4904811210206
PD69001462,ชูชีพเป่าลม L ฟ.,49.5,60,6956373200414
PD69001252,เลโก้ ไมโคร W2602 (แผง),135,165,
PD69001380,สกุชชี่ไอติม (กล่อง),360,440,
PD69001383,สกุชชี่เนยแท่ง 12cm. (กล่อง),360,420,
PD69001331,*ถังทรายเรือ 9221 (ลัง),1560,1752,
PD69001210,กังหัน Superman,55,65,8858599032191
PD69001274,ซองกันน้ำ VR (แพค 12),138,170,6913516446641
PD68000111,ถ่าน AAA กล่อง,58.3333,70,8850001023315
PD69001209,กังหัน Iron man,55,65,8858599032214
PD69001393,*ถังทรายจิ๋ว 9265 (ลัง),1800,2160,
PD68000783,เครื่องบินร่อน MTR,29.75,40,8851059144151
LY029,ปืนเป่าฟอง bubble KIN,45,55,520212279235
PD69001266,สน็อกเกิ้ล Diving MTR,105,135,8851059144984
PD69001333,*ถังทรายปูล่าง 9208 (ลัง),1080,1200,
PD69001350,"ห่วงคัลเลอร์ฟูล 120 cm.48""",112.5,135,6956373213322
PD68001093,ปืนเป่าฟอง FLYING ARMOR MG,45,55,8859472407853
PD69001371,บอลโฟม แผง(20),90,100,
PD69001373,ลูกโป่งวิทยาศาสตร์ แผง (15),135,150,
PD69001410,ตกปลาไดโนเสาร์ (25) แผง,112.5,125,
PD68000701,"ห่วง 2 ชั้น 80 cm. 30""",48,60,6956373007891
PD68000034,ถังทรายรถเกรด,55,70,6903516411794
PD68000562,เบย์เบลด BEYBLADE X,60,65,4904811210213
SW-M02-L/XL,ฟลูเฟรชมาร์ก,170.9967,200,6910102402920
PD68000050,พลั่วไม้สั้น GV,30,35,
